lexicon,label
genocide,negative
genus amphibolips,negative
genus bacteroides,negative
genus boehmeria,negative
genus chlamydia,negative
genus hackelia,negative
genus lappula,negative
genus melursus,negative
genus nimravus,negative
genus phthirius,negative
genus phthirus,negative
genus phytophthora,negative
genus pithecia,negative
genus sivapithecus,negative
genus zygophyllum,negative
geometrical irregularity,negative
germ warfare,negative
get around,negative
get back,negative
get stuck,negative
get the best,negative
get-rich,negative
ghastly,negative
ghetto,negative
ghosting,negative
giardiasis,negative
gibber,negative
gibberish,negative
gibe,negative
gibelike,negative
giddy,negative
gidgee,negative
gift horse,negative
gimmick,negative
gimmicked,negative
gimmicking,negative
gimmicks,negative
gimmicky,negative
gingivitis,negative
glacial,negative
glandular fever,negative
glandular plague,negative
glare,negative
glaring,negative
glaringly,negative
glassless,negative
glib,negative
glibly,negative
glitch,negative
glitches,negative
gloat,negative
gloating,negative
gloatingly,negative
glomerulonephritis,negative
gloom,negative
gloominess,negative
gloomy,negative
glop,negative
glossalgia,negative
glossitis,negative
glossodynia,negative
glossodynia exfoliativa,negative
glower,negative
glum,negative
glumness,negative
glut,negative
gnawing,negative
go around,negative
go out,negative
go to pot,negative
go to the dogs,negative
go-as-you-please,negative
goad,negative
goading,negative
god-awful,negative
godless,negative
goes down,negative
gonorrhea,negative
gonorrhoea,negative
goof,negative
goofy,negative
goon,negative
gory,negative
gossip,negative
gothic,negative
gotterdammerung,negative
gouty,negative
graceless,negative
gracelessly,negative
gracelessness,negative
graft,negative
grainy,negative
granite,negative
granuloma,negative
grapple,negative
grass tree family,negative
grate,negative
grating,negative
grave,negative
gravelly,negative
gravely,negative
gravity bomb,negative
greasy,negative
great disturbance,negative
greed,negative
greedy,negative
green,negative
green-blindness,negative
gregariousness,negative
gridlock,negative
grief,negative
grief-stricken,negative
grievance,negative
grievances,negative
grieve,negative
grieving,negative
grievous,negative
grievously,negative
grim,negative
grimace,negative
grime,negative
grimy,negative
grind,negative
grind to a halt,negative
gripe,negative
gripes,negative
griping,negative
grisly,negative
gristly,negative
gritty,negative
grizzle,negative
groan,negative
gross,negative
grotesque,negative
grotty,negative
grouch,negative
grouchy,negative
groundless,negative
grouse,negative
growl,negative
grubby,negative
grudge,negative
grudges,negative
grudging,negative
grudgingly,negative
gruesome,negative
gruesomely,negative
gruff,negative
grumble,negative
grumpier,negative
grumpiest,negative
grumpily,negative
grumpiness,negative
grumpish,negative
grumpy,negative
grungy,negative
grunt,negative
guile,negative
guilt,negative
guilt feelings,negative
guilt trip,negative
guiltily,negative
guiltiness,negative
guilty,negative
guilty conscience,negative
gullible,negative
gum,negative
gum-lac,negative
gutless,negative
gutter,negative
gymnopilus validipes,negative
gymnosporangium juniperi-virginianae,negative
gynobase,negative
habit-forming,negative
hack,negative
hacked,negative
hackelia,negative
hacks,negative
hadj,negative
haematoma,negative
haemoglobinopathy,negative
hagada,negative
haggada,negative
haggadah,negative
haggard,negative
haggle,negative
hairlessness,negative
hairline fracture,negative
hairloss,negative
haj,negative
hajj,negative
halfhearted,negative
halfheartedly,negative
halitosis,negative
hallucinate,negative
hallucinating,negative
hallucination,negative
ham-fisted,negative
ham-handed,negative
hamartia,negative
hamlet,negative
hamming,negative
hamper,negative
hampered,negative
handicap,negative
handicapped,negative
handless,negative
hands-off,negative
hang,negative
hangover,negative
hangs,negative
hansen's disease,negative
haphazard,negative
hapless,negative
harangue,negative
harass,negative
harassed,negative
harasses,negative
harassment,negative
harboring,negative
harbors,negative
hard,negative
hard cheese,negative
hard put,negative
hard up,negative
hard-hit,negative
hard-line,negative
hard-liner,negative
hard-pressed,negative
hardball,negative
harden,negative
hardened,negative
harder,negative
hardheaded,negative
hardhearted,negative
hardheartedness,negative
hardliner,negative
hardliners,negative
hardness,negative
hardship,negative
hardships,negative
haredi,negative
harm,negative
harmed,negative
harmful,negative
harmfulness,negative
harming,negative
harms,negative
harpy,negative
harridan,negative
harried,negative
harrow,negative
harsh,negative
harshly,negative
harshness,negative
hasseling,negative
hassle,negative
hassled,negative
hassles,negative
haste,negative
hastily,negative
hastily-designed,negative
hasty,negative
hatchet job,negative
hate,negative
hated,negative
hateful,negative
hatefully,negative
hatefulness,negative
hater,negative
haters,negative
hates,negative
hating,negative
hatless,negative
hatred,negative
haughtily,negative
haughty,negative
haunt,negative
haunting,negative
have,negative
have the best,negative
have words,negative
havoc,negative
hawkish,negative
haymaker,negative
hayseed,negative
haywire,negative
hazard,negative
hazardous,negative
haze,negative
hazy,negative
head,negative
head-aches,negative
headache,negative
headaches,negative
headless,negative
health care,negative
health problem,negative
heart failure,negative
heartache,negative
heartbreak,negative
heartbreaker,negative
heartbreaking,negative
heartbreakingly,negative
heartbroken,negative
heartburn,negative
heartless,negative
heartlessness,negative
heartrending,negative
heartsick,negative
heathen,negative
heathenish,negative
heavy-handed,negative
heavyhearted,negative
heavyheartedness,negative
heck,negative
heckle,negative
heckled,negative
heckles,negative
hectic,negative
hedonistic,negative
heedless,negative
heel,negative
hefty,negative
hegemonism,negative
hegemonistic,negative
hegemony,negative
heinous,negative
heinousness,negative
hell,negative
hell-bent,negative
helleborus foetidus,negative
hellhound,negative
hellion,negative
hellish,negative
hells,negative
helpless,negative
helplessly,negative
helplessness,negative
hematoma,negative
hemochromatosis,negative
hemofil,negative
hemoglobinopathy,negative
henpecked,negative
hepatic coma,negative
hepatitis,negative
hepatitis a,negative
hepatomegaly,negative
hereditary cerebellar ataxia,negative
heresy,negative
heretic,negative
heretical,negative
hesitant,negative
hesitating,negative
hestitant,negative
heterogeneous,negative
heterogenous,negative
heterologic,negative
heterological,negative
heterologous,negative
hexed,negative
hick,negative
hidden,negative
hideous,negative
hideously,negative
hideousness,negative
high-priced,negative
high-risk,negative
hiliarious,negative
hinayana,negative
hinayana buddhism,negative
hinder,negative
hindrance,negative
hirschsprung's disease,negative
hiss,negative
hissed,negative
hissing,negative
ho-hum,negative
hoard,negative
hoax,negative
hobble,negative
hobbledehoy,negative
hobbler,negative
hogs,negative
hollow,negative
hollywood,negative
homebody,negative
homeless,negative
homesick,negative
hoo-ha,negative
hoo-hah,negative
hoodium,negative
hoodwink,negative
hooligan,negative
hopeless,negative
hopelessly,negative
hopelessness,negative
horde,negative
horrendous,negative
horrendously,negative
horrible,negative
horribly,negative
horrid,negative
horrific,negative
horrified,negative
horrifies,negative
horrify,negative
horrifying,negative
horrifys,negative
hostage,negative
hostile,negative
hostilities,negative
hostility,negative
hot potato,negative
hot water,negative
hotbeds,negative
hothead,negative
hotheaded,negative
hothouse,negative
hound,negative
howler,negative
hubris,negative
huckster,negative
huffish,negative
huffishness,negative
hum,negative
human death,negative
humbling,negative
humbug,negative
humid,negative
humiliate,negative
humiliating,negative
humiliation,negative
humming,negative
hung,negative
hurler's disease,negative
hurler's syndrome,negative
hurly burly,negative
hurt,negative
hurted,negative
hurtful,negative
hurting,negative
hurts,negative
hustler,negative
hyaline membrane disease,negative
hydra,negative
hydrogen sulfide,negative
hydromorphone,negative
hydromorphone hydrochloride,negative
hydronephrosis,negative
hydrophobic,negative
hydrops,negative
hype,negative
hyperadrenalism,negative
hyperadrenocorticism,negative
hypercritical,negative
hyperemesis,negative
hypertrophic cardiomyopathy,negative
hypoactive,negative
hypobetalipoproteinemia,negative
hypocalcaemia,negative
hypocalcemia,negative
hypochondriac,negative
hypochondriacal,negative
hypocricy,negative
hypocrisy,negative
hypocrite,negative
hypocrites,negative
hypocritical,negative
hypocritically,negative
hypogammaglobulinemia,negative
hypoglycaemia,negative
hypoglycemia,negative
hypoparathyroidism,negative
hypoproteinemia,negative
hypothecate,negative
hypothesis,negative
hypothetical,negative
hypothetical creature,negative
hypothyroidism,negative
hysteria,negative
hysteric,negative
hysterical,negative
hysterical neurosis,negative
hysterically,negative
hysterics,negative
icky,negative
icteric,negative
icterogenic,negative
icy,negative
idiocies,negative
idiocy,negative
idiot,negative
idiotic,negative
idiotically,negative
idiots,negative
idle,negative
ignoble,negative
ignominious,negative
ignominiously,negative
ignominy,negative
ignorance,negative
ignorant,negative
ignore,negative
ileitis,negative
ill,negative
ill health,negative
ill humor,negative
ill humour,negative
ill nature,negative
ill will,negative
ill-advised,negative
ill-affected,negative
ill-chosen,negative
ill-conceived,negative
ill-defined,negative
ill-designed,negative
ill-famed,negative
ill-fated,negative
ill-favored,negative
ill-formed,negative
ill-humored,negative
ill-humoured,negative
ill-mannered,negative
ill-natured,negative
ill-omened,negative
ill-scented,negative
ill-smelling,negative
ill-sorted,negative
ill-starred,negative
ill-tempered,negative
ill-timed,negative
ill-treat,negative
ill-treated,negative
ill-treatment,negative
ill-usage,negative
ill-use,negative
ill-used,negative
illegal,negative
illegally,negative
illegitimacy,negative
illegitimate,negative
illicit,negative
illicitness,negative
illiterate,negative
illness,negative
illogic,negative
illogical,negative
illogically,negative
illusion,negative
illusions,negative
illusory,negative
imaginary,negative
imbalance,negative
imbecile,negative
imbecility,negative
imbroglio,negative
immaterial,negative
immature,negative
immatureness,negative
immaturity,negative
imminence,negative
imminently,negative
immobile,negative
immobilise,negative
immobilize,negative
immobilized,negative
immoderate,negative
immoderately,negative
immodest,negative
immoral,negative
immorality,negative
immorally,negative
immotile,negative
immovable,negative
immoveable,negative
immune,negative
immunocompetence,negative
immunocompetent,negative
immunocompromised,negative
immunodeficient,negative
immutable,negative
impaction,negative
impair,negative
impaired,negative
impairment,negative
impasse,negative
impatience,negative
impatient,negative
impatiently,negative
impeach,negative
impecunious,negative
impedance,negative
impede,negative
impediment,negative
impending,negative
impenetrable,negative
impenitent,negative
imperfect,negative
imperfection,negative
imperfections,negative
imperfectly,negative
imperialist,negative
imperil,negative
imperious,negative
imperiously,negative
impermissible,negative
impersonal,negative
impertinence,negative
impertinent,negative
imperviable,negative
impervious,negative
impetuous,negative
impetuously,negative
impiety,negative
impinge,negative
impious,negative
implacable,negative
implausible,negative
implausibly,negative
implicate,negative
implication,negative
implode,negative
impolite,negative
impolitely,negative
impolitic,negative
imponderable,negative
importunate,negative
importune,negative
impose,negative
imposers,negative
imposing,negative
imposition,negative
impossible,negative
impossiblity,negative
impossibly,negative
impotent,negative
impoverish,negative
impoverished,negative
impoverishment,negative
impracticability,negative
impracticable,negative
impracticableness,negative
impractical,negative
imprecate,negative
imprecise,negative
imprecisely,negative
imprecision,negative
imprison,negative
imprisonment,negative
improbability,negative
improbable,negative
improbably,negative
improper,negative
improperly,negative
impropriety,negative
imprudence,negative
imprudent,negative
impudence,negative
impudent,negative
impudently,negative
impugn,negative
impulsive,negative
impulsively,negative
impunity,negative
impure,negative
impurity,negative
imputrescible,negative
in a bad way,negative
in straitened circumstances,negative
in time,negative
inability,negative
inaccessible,negative
inaccuracies,negative
inaccuracy,negative
inaccurate,negative
inaccurately,negative
inaction,negative
inactive,negative
inadequacy,negative
inadequate,negative
inadequately,negative
inadmissibility,negative
inadmissible,negative
inadverent,negative
inadverently,negative
inadvisable,negative
inadvisably,negative
inalienable,negative
inalterable,negative
inane,negative
inanely,negative
inanimate,negative
inanimateness,negative
inapplicable,negative
inapposite,negative
inappropriate,negative
inappropriately,negative
inappropriateness,negative
inapt,negative
inaptitude,negative
inarticulate,negative
inattentive,negative
inaudible,negative
inauspicious,negative
inauspiciousness,negative
incapability,negative
incapable,negative
incapableness,negative
incapably,negative
incapacity,negative
incautious,negative
incendiary,negative
incense,negative
incensed,negative
incessant,negative
incessantly,negative
incidental,negative
incite,negative
incitement,negative
incivility,negative
inclement,negative
incognizant,negative
incoherence,negative
incoherent,negative
incoherently,negative
incommensurable,negative
incommensurate,negative
incommode,negative
incommodiousness,negative
incommunicado,negative
incommutable,negative
incomparable,negative
incomparably,negative
incompatability,negative
incompatibility,negative
incompatible,negative
incompetence,negative
incompetent,negative
incompetent person,negative
incompetently,negative
incomplete,negative
incomplete fracture,negative
incompliant,negative
incomprehensible,negative
incomprehension,negative
incompressible,negative
inconceivable,negative
inconceivably,negative
incongruity,negative
incongruous,negative
incongruously,negative
incongruousness,negative
inconsequent,negative
inconsequential,negative
inconsequentially,negative
inconsequently,negative
inconsiderate,negative
inconsiderately,negative
inconsistence,negative
inconsistencies,negative
inconsistency,negative
inconsistent,negative
inconsolable,negative
inconsolably,negative
inconstant,negative
incontestable,negative
incontestible,negative
incontrovertible,negative
inconvenience,negative
inconvenient,negative
inconveniently,negative
incoordination,negative
incorporeality,negative
incorrect,negative
incorrectly,negative
incorrectness,negative
incorrigible,negative
incorrigibly,negative
incredulous,negative
incredulously,negative
inculcate,negative
incumbent,negative
incumbrance,negative
indecency,negative
indecent,negative
indecently,negative
indecision,negative
indecisive,negative
indecisively,negative
indecorum,negative
indefeasible,negative
indefensible,negative
indelicacy,negative
indelicate,negative
independent,negative
indeterminable,negative
indeterminably,negative
indeterminate,negative
indian hemp,negative
indie,negative
indifference,negative
indifferent,negative
indigent,negative
indigestible,negative
indigestion,negative
indignant,negative
indignantly,negative
indignation,negative
indignity,negative
indirect,negative
indirectly,negative
indiscernible,negative
indiscreet,negative
indiscreetly,negative
indiscrete,negative
indiscretion,negative
indiscriminate,negative
indiscriminately,negative
indiscriminating,negative
indisposed,negative
indistinguishable,negative
indivisible,negative
indoctrinate,negative
indoctrination,negative
indolent,negative
indomitability,negative
induced,negative
indulge,negative
ineffective,negative
ineffectively,negative
ineffectiveness,negative
ineffectual,negative
ineffectually,negative
ineffectualness,negative
inefficacious,negative
inefficacy,negative
inefficiency,negative
inefficient,negative
inefficiently,negative
inelegance,negative
inelegant,negative
ineligible,negative
ineloquent,negative
ineloquently,negative
ineluctability,negative
inept,negative
ineptitude,negative
ineptly,negative
inequalities,negative
inequality,negative
inequitable,negative
inequitably,negative
inequities,negative
inerrable,negative
inerrant,negative
inert,negative
inescapable,negative
inescapably,negative
inessential,negative
inessentiality,negative
inevitable,negative
inevitably,negative
inexactitude,negative
inexactness,negative
inexcusable,negative
inexcusably,negative
inexorability,negative
inexorable,negative
inexorableness,negative
inexorably,negative
inexpedient,negative
inexperience,negative
inexperienced,negative
inexpert,negative
inexpertly,negative
inexpiable,negative
inexplainable,negative
inextinguishable,negative
inextricable,negative
inextricably,negative
infamous,negative
infamously,negative
infamy,negative
infantile paralysis,negative
infeasible,negative
infected,negative
infection,negative
infections,negative
infectious hepatitis,negative
infectious mononucleosis,negative
infelicitous,negative
inferior,negative
inferior pulmonary vein,negative
inferiority,negative
infernal,negative
infertile,negative
infest,negative
infested,negative
infidel,negative
infidels,negative
infiltrator,negative
infiltrators,negative
infiniteness,negative
infinitude,negative
infirm,negative
inflame,negative
inflamed,negative
inflammation,negative
inflammatory,negative
inflammatory bowel disease,negative
inflammatory disease,negative
inflammed,negative
inflated,negative
inflation,negative
inflationary,negative
inflexibility,negative
inflexible,negative
inflict,negative
infraction,negative
infrangible,negative
infrequent,negative
infringe,negative
infringement,negative
infringements,negative
infuriate,negative
infuriated,negative
infuriating,negative
infuriatingly,negative
inglorious,negative
ingrate,negative
ingratitude,negative
ingrown hair,negative
inharmonious,negative
inhibit,negative
inhibition,negative
inhospitable,negative
inhospitality,negative
inhuman,negative
inhuman treatment,negative
inhumane,negative
inhumanity,negative
inimical,negative
inimically,negative
iniquitous,negative
iniquity,negative
injudicious,negative
injure,negative
injured,negative
injurious,negative
injuriousness,negative
injury,negative
injustice,negative
injustices,negative
innate,negative
innuendo,negative
inoffensive,negative
inoperable,negative
inopportune,negative
inordinate,negative
inordinately,negative
inquisition,negative
inquisitor,negative
insane,negative
insanely,negative
insanity,negative
insatiable,negative
insecure,negative
insecurities,negative
insecurity,negative
insensate,negative
insensibility,negative
insensible,negative
insensitive,negative
insensitively,negative
insensitivity,negative
insidious,negative
insidiously,negative
insignificance,negative
insignificant,negative
insignificantly,negative
insincere,negative
insincerely,negative
insincerity,negative
insinuate,negative
insinuating,negative
insinuation,negative
insociable,negative
insolence,negative
insolent,negative
insolently,negative
insolubility,negative
insoluble,negative
insolvent,negative
insomnia,negative
insomniac,negative
insouciance,negative
instability,negative
instable,negative
instigate,negative
instigator,negative
instigators,negative
insubordinate,negative
insubstantial,negative
insubstantially,negative
insufferable,negative
insufferably,negative
insufficiency,negative
insufficient,negative
insufficiently,negative
insular,negative
insult,negative
insulted,negative
insulting,negative
insultingly,negative
insults,negative
insuperable,negative
insupportable,negative
insupportably,negative
insurmountable,negative
insurmountably,negative
insurrection,negative
insusceptible,negative
intangible,negative
intangible asset,negative
intefere,negative
inteferes,negative
intense,negative
interfere,negative
interference,negative
interferes,negative
interfering,negative
intermittent,negative
intermittent cramp,negative
intermittent tetanus,negative
interrogator,negative
interrupt,negative
interruption,negative
interruptions,negative
intestate,negative
intestinal colic,negative
intestinal flu,negative
intimidate,negative
intimidating,negative
intimidatingly,negative
intimidation,negative
intolerable,negative
intolerablely,negative
intolerance,negative
intolerant,negative
intoxicate,negative
intractable,negative
intransigence,negative
intransigency,negative
intransigent,negative
intrude,negative
intrusion,negative
intrusive,negative
intumescence,negative
intumescency,negative
intumescent,negative
inundate,negative
inundated,negative
invade,negative
invader,negative
invalid,negative
invalidate,negative
invalidating,negative
invalidism,negative
invalidity,negative
invariability,negative
invariable,negative
invasive,negative
invective,negative
inveigle,negative
invidious,negative
invidiously,negative
invidiousness,negative
invisible,negative
invocation,negative
involuntarily,negative
involuntary,negative
ira,negative
irascible,negative
irate,negative
irately,negative
ire,negative
irk,negative
irked,negative
irking,negative
irks,negative
irksome,negative
irksomely,negative
irksomeness,negative
irksomenesses,negative
iron overload,negative
iron-storage disease,negative
ironic,negative
ironical,negative
ironically,negative
ironies,negative
irony,negative
irradiation,negative
irragularity,negative
irrational,negative
irrationalities,negative
irrationality,negative
irrationally,negative
irrationals,negative
irreality,negative
irreclaimable,negative
irreconcilable,negative
irrecoverable,negative
irrecoverableness,negative
irrecoverablenesses,negative
irrecoverably,negative
irredeemable,negative
irredeemably,negative
irreducible,negative
irreformable,negative
irrefutable,negative
irregular,negative
irregularity,negative
irrelevance,negative
irrelevant,negative
irremediable,negative
irreparable,negative
irreplacible,negative
irrepressible,negative
irresolute,negative
irresolvable,negative
irresponsible,negative
irresponsibly,negative
irretating,negative
irretrievable,negative
irreverent,negative
irreversible,negative
irrevocable,negative
irrevokable,negative
irritable,negative
irritably,negative
irritant,negative
irritate,negative
irritated,negative
irritating,negative
irritation,negative
irritations,negative
is now,negative
is't,negative
isolate,negative
isolated,negative
isolation,negative
issue,negative
issues,negative
itch,negative
itching,negative
itchy,negative
jabber,negative
jaded,negative
jagged,negative
jaggedness,negative
jam,negative
jarring,negative
jaundice,negative
jaundiced,negative
jaw,negative
jealous,negative
jealously,negative
jealousness,negative
jealousy,negative
jeer,negative
jeering,negative
jeeringly,negative
jeers,negative
jeopardize,negative
jeopardy,negative
jerk,negative
jerking,negative
jerky,negative
jerry-builder,negative
jerry-built,negative
jinxed,negative
jitter,negative
jitters,negative
jittery,negative
job-killing,negative
jobless,negative
joke,negative
joker,negative
jolt,negative
jolting,negative
jolty,negative
joyless,negative
judder,negative
juddering,negative
judders,negative
judgement on the pleadings,negative
judgment on the pleadings,negative
jumpy,negative
junior,negative
junior-grade,negative
junk,negative
junky,negative
junkyard,negative
jutter,negative
jutters,negative
juvenile amaurotic idiocy,negative
kail,negative
kale,negative
kaput,negative
katabolic,negative
katzenjammer,negative
kawasaki disease,negative
keep down,negative
keratalgia,negative
keratitis,negative
keratoderma blennorrhagica,negative
keratosis blennorrhagica,negative
keratosis pilaris,negative
kerfuffle,negative
kick,negative
kick around,negative
kidney failure,negative
kill,negative
killed,negative
killer,negative
killing,negative
killjoy,negative
kills,negative
kink,negative
kissing disease,negative
kite,negative
kitsch,negative
knave,negative
knife,negative
knock,negative
knockabout,negative
knocked-out,negative
knockout punch,negative
knotted,negative
ko punch,negative
kook,negative
kooky,negative
kvetch,negative
kwashiorkor,negative
labor pain,negative
lacerate,negative
lacerated,negative
lack,negative
lackadaisical,negative
lacked,negative
lackey,negative
lackeys,negative
lacking,negative
lackluster,negative
lacks,negative
laconic,negative
lactase deficiency,negative
lactose intolerance,negative
lafora's disease,negative
lag,negative
lagged,negative
lagging,negative
laggy,negative
lags,negative
laic,negative
laid up,negative
laid-off,negative
lambast,negative
lambaste,negative
lame,negative
lame-duck,negative
lament,negative
lamentable,negative
lamentably,negative
lamentation,negative
lamenting,negative
languid,negative
languish,negative
languor,negative
languorous,negative
languorously,negative
lanky,negative
lappula,negative
lapse,negative
lapsed,negative
lapses,negative
larcenous,negative
large-grained,negative
largeness,negative
lascivious,negative
last,negative
last-ditch,negative
lasting,negative
latency,negative
latent,negative
latent diabetes,negative
latent schizophrenia,negative
laughable,negative
laughably,negative
laughingstock,negative
lawbreaker,negative
lawbreaking,negative
lawless,negative
lawlessness,negative
lay,negative
layman,negative
layoff,negative
layoff-happy,negative
layperson,negative
lazarus,negative
lazy,negative
lead astray,negative
lead on,negative
leadless,negative
leak,negative
leakage,negative
leakages,negative
leaking,negative
leaks,negative
leaky,negative
leatherjacket,negative
lech,negative
lecher,negative
lecherous,negative
lechery,negative
lecture,negative
leech,negative
leer,negative
leery,negative
left-handed,negative
left-leaning,negative
legal injury,negative
legionnaires' disease,negative
legless,negative
leisurely,negative
lemon,negative
lengthy,negative
lenitive,negative
leprosy,negative
leptomeningitis,negative
less-developed,negative
lesser-known,negative
letch,negative
letdown,negative
lethal,negative
lethargic,negative
lethargy,negative
letter bond,negative
letter stock,negative
lewd,negative
lewdly,negative
lewdness,negative
liability,negative
liable,negative
liar,negative
liars,negative
libellous,negative
libelous,negative
licentious,negative
licentiously,negative
licentiousness,negative
lidless,negative
lie,negative
lie low,negative
lied,negative
lier,negative
lies,negative
life-threatening,negative
lifeless,negative
lifelessness,negative
light-duty,negative
lightheadedness,negative
limit,negative
limitation,negative
limitations,negative
limited,negative
limited liability,negative
limitlessness,negative
limits,negative
limp,negative
limper,negative
lipochondrodystrophy,negative
listless,negative
litigious,negative
little,negative
little-known,negative
livedo,negative
liver cancer,negative
liverish,negative
livery,negative
livid,negative
lividity,negative
lividly,negative
lividness,negative
loan,negative
loath,negative
loathe,negative
loathing,negative
loathly,negative
loathsome,negative
loathsomely,negative
loco disease,negative
locoism,negative
lone,negative
loneliness,negative
lonely,negative
loner,negative
lonesome,negative
long-sufferance,negative
long-suffering,negative
long-time,negative
long-winded,negative
long-windedness,negative
longing,negative
longingly,negative
loophole,negative
loopholes,negative
loose,negative
loosen up,negative
loosing,negative
loot,negative
lorn,negative
lose,negative
loser,negative
losers,negative
loses,negative
losing,negative
loss,negative
losses,negative
lossless,negative
lost,negative
loud,negative
louder,negative
louse up,negative
lousiness,negative
lousy,negative
loveless,negative
lovelorn,negative
low,negative
low quality,negative
low status,negative
low tolerance,negative
low-down,negative
low-grade,negative
low-level,negative
low-rated,negative
low-spirited,negative
lower-ranking,negative
lowliness,negative
lowly,negative
lowness,negative
luckless,negative
ludicrous,negative
ludicrously,negative
lugubrious,negative
lugubriousness,negative
lukewarm,negative
lull,negative
lumber,negative
luminescence,negative
lumpy,negative
lunatic,negative
lunaticism,negative
lung-like,negative
lurch,negative
lure,negative
lurid,negative
luridness,negative
lurk,negative
lurking,negative
lying,negative
lyme arthritis,negative
lyme disease,negative
lymphadenitis,negative
lymphadenoma,negative
lysine intolerance,negative
lysinemia,negative
macabre,negative
mad,negative
madcap,negative
madden,negative
maddening,negative
maddeningly,negative
madder,negative
madly,negative
madman,negative
madness,negative
maggoty,negative
maidism,negative
make relaxed,negative
mal de la rosa,negative
mal rosso,negative
maladjusted,negative
maladjustment,negative
malady,negative
malaise,negative
malcontent,negative
malcontented,negative
maledict,negative
maleficent,negative
malevolence,negative
malevolency,negative
malevolent,negative
malevolently,negative
malfunctioning,negative
malice,negative
malicious,negative
maliciously,negative
maliciousness,negative
malign,negative
malignance,negative
malignancy,negative
malignant,negative
malignity,negative
malignment,negative
malinger,negative
mallophaga,negative
malnourish,negative
malnourished,negative
malnourishment,negative
malnutrition,negative
malodor,negative
malodorous,negative
malodour,negative
malodourous,negative
maltreat,negative
maltreated,negative
maltreatment,negative
manginess,negative
mangle,negative
mangled,negative
mangles,negative
mangling,negative
mania,negative
maniac,negative
maniacal,negative
manic,negative
manic depression,negative
manic depressive illness,negative
manic disorder,negative
manic-depressive,negative
manic-depressive psychosis,negative
manipulate,negative
manipulation,negative
manipulative,negative
manipulators,negative
mar,negative
marasmus,negative
marginal,negative
marginally,negative
marred,negative
martyniaceae,negative
martyrdom,negative
martyrdom-seeking,negative
mashed,negative
masked,negative
massacre,negative
massacres,negative
mastoiditis,negative
matinee idol,negative
matte,negative
maul,negative
mawkish,negative
mawkishly,negative
mawkishness,negative
mayidism,negative
meager,negative
meagerly,negative
meagre,negative
meaningless,negative
meanness,negative
measly,negative
meat grinder,negative
meddle,negative
meddlesome,negative
meddling,negative
mediocre,negative
mediocrity,negative
meekness,negative
mefenamic acid,negative
megalohepatia,negative
megalomaniacal,negative
megalomanic,negative
melampsora lini,negative
melancholia,negative
melancholic,negative
melancholy,negative
melodramatic,negative
melodramatically,negative
meltdown,negative
melursus,negative
menace,negative
menacing,negative
menacingly,negative
mendacious,negative
mendacity,negative
menial,negative
meningism,negative
meningitis,negative
mental block,negative
mentally ill,negative
mephistophelean,negative
mephistophelian,negative
mephitis,negative
meralgia,negative
merciless,negative
mercilessly,negative
mess,negative
mess up,negative
messed,negative
messes,negative
messing,negative
messy,negative
methotrexate,negative
methotrexate sodium,negative
metralgia,negative
metrorrhagia,negative
midget,negative
miff,negative
miffed,negative
miliary tuberculosis,negative
militancy,negative
militia,negative
milk intolerance,negative
minacious,negative
minatory,negative
mindless,negative
mindlessly,negative
minor,negative
minor surgery,negative
minus,negative
mirage,negative
mire,negative
misalign,negative
misaligned,negative
misaligns,negative
misanthropic,negative
misanthropical,negative
misapprehend,negative
misbecome,negative
misbecoming,negative
misbegotten,negative
misbehave,negative
misbehavior,negative
misbehaviour,negative
miscalculate,negative
miscalculation,negative
miscellaneous,negative
mischance,negative
mischief,negative
mischief-making,negative
mischievous,negative
mischievously,negative
mischievousness,negative
misconceive,negative
misconception,negative
misconceptions,negative
misconduct,negative
misconstrue,negative
miscreant,negative
miscreants,negative
misdeal,negative
misdeed,negative
misdirect,negative
misdirection,negative
miser,negative
miserable,negative
miserableness,negative
miserably,negative
miseries,negative
miserly,negative
misery,negative
misfit,negative
misfortunate,negative
misfortune,negative
misgiving,negative
misgivings,negative
misguidance,negative
misguide,negative
misguided,negative
mishandle,negative
mishap,negative
misinform,negative
misinformed,negative
misinterpret,negative
misjudge,negative
misjudgment,negative
mislead,negative
misleading,negative
misleadingly,negative
mislike,negative
mismanage,negative
mismatched,negative
mismated,negative
mispronounce,negative
mispronounced,negative
mispronounces,negative
misread,negative
misreading,negative
misrepresent,negative
misrepresentation,negative
miss,negative
missed,negative
misses,negative
missing,negative
mission impossible,negative
misstatement,negative
mist,negative
mistake,negative
mistaken,negative
mistakenly,negative
mistakes,negative
mistified,negative
mistreat,negative
mistreated,negative
mistress,negative
mistrust,negative
mistrustful,negative
mistrustfully,negative
mists,negative
misunderstand,negative
misunderstanding,negative
misunderstandings,negative
misunderstood,negative
misuse,negative
mitigating circumstance,negative
mitigative,negative
mitigatory,negative
mitral valve prolapse,negative
moan,negative
mobster,negative
mock,negative
mocked,negative
mockeries,negative
mockery,negative
mocking,negative
mockingly,negative
mocks,negative
moeller's glossitis,negative
moldiness,negative
molest,negative
molestation,negative
moneyless,negative
mongrel,negative
mono,negative
mononucleosis,negative
monotonous,negative
monotony,negative
monster,negative
monstrosities,negative
monstrosity,negative
monstrous,negative
monstrously,negative
moodiness,negative
moody,negative
moon about,negative
moon around,negative
moon blindness,negative
mooneye,negative
moot,negative
mope,negative
morbid,negative
morbidity,negative
morbidly,negative
morbidness,negative
